English,Ukrainian
ordinary interest,"звичайні відсотки (проценти) (обчислювані з розрахунку 360-денного року, що складається з 12 місяців по 30 днів кожний)"
ordinary operations,звичайна діяльність; звичайні операції
ordinary repairs,поточний ремонт
ordinary share,звичайна акція; пай
ordinary shareholder,утримувач звичайних акцій
ordinary stock,звичайна акція; пай
organic law,основний закон; конституція; органічний закон
organic pollution,забруднення органічними речовинами (екол.)
organisation,організаційна структура (компанії); організаційна схема (компанії)
organisation expenses,витрати на заснування; засновницькі витрати
Organisation for Economic Cooperation and Development (OECD),Організація економічного співробітництва |і розвитку (ОЕСР)
Organisation for Security and Cooperation in Europe (OSCE),Організація з безпеки і співробітництва в Європі (ОБСЄ)
Organization of the Petroleum Exporting Countries (OPEC),Організація країн - експортерів нафти (ОПЕК)
original bill of lading,оригінал коносаменту
original capital stock,первісний акціонерний капітал
original cost,початкова вартість
original issue,первинне розміщення (цінних паперів)
original issue discount (OID),знижка проти номіналу цінного паперу при первинному розміщенні
original law,закон у першій редакції; первісний закон
original maturity,строковість цінного паперу при випуску
original message,вихідне повідомлення
original placement,первинне розміщення (цінних паперів)
original prequalification documents,"початкові відбіркові документи; документи, на підставі яких учасники допускаються до конкурсу"
original trial,початковий розгляд справи (у суді)
originate (v.),організовувати перший випуск (цінних паперів); займатися первинними емісіями
originating bank,банк-відправник: банк-ремітент
originating calls,вихідні переговори; вихідне навантаження; вихідний обмін
originating traffic,вихідне навантаження; вихідні переговори; вихідний обмін
origination,початок роботи над проектом; початок проекту; підрозділ з підбору проектів (у інвестиційному банку); випуск нових зобов'язань
origination fee,комісія за розгляд звернення за кредитом; комісія за відкриття іпотечного кредиту ІСША!|
originator,переказодавець; клієнт-замовник; ініціатор платежу
originator’s bank,банк переказодавця
ostensible law,презумпція права
ostensible partner,номінальний компаньйон; номінальний партнер; формальний партнер; уявний партнер; фіктивний компаньйон; підставний партнер
other liabilities,інші пасиви
other money market placement and advances,інші види розміщення капіталу і надані позички на грошовому ринку
other operating income,інший дохід від профільної діяльності; інший дохід від основної діяльності; інший дохід від реалізації
other witholdings,інші стягнення
our ref.:,наш вих. Мо
out of court,у порядку мирової угоди; у позасудовому порядку
out-of-court settlement,мирова угода; полюбовне врегулювання; врегулювання у позасудовому порядку
out of date with ... (be ~) (v.),тривалий час не мати відомостей про...
out-of-pocket expenses,"фактичні витрати (звичайно готельні, дорожні, добові. Вартість послуг зв язку, таксі, переказу, підготовки документації і т.ін.); витрати на відрядження; витрати за власний рахунок; витрати, що оплачуються готівкою"
out of the money,недоцільність реалізації опціону (стан ринку робить невигідною реалізацію опціону)
Outage,простій обладнання (з технічних причин); припинення подачі електроенергії; перерва в енергопостачанні
outage cost,вартість простою (обладнання)
Outflow of capital,відплив капіталу
outgoing advice,вихідне авізо
outgoing calls,вихідні переговори; вихідне навантаження; вихідний обмін
outgoing inventory,облік готової продукції; готова продукція
outgoing traffic,вихідні переговори; вихідне навантаження; вихідний обмін
outgoings,поточні витрати (планові); регулярні витрати; постійні витрати; регулярні платежі
outlay,капітальні витрати (за кошторисом); планові капітальні витрати
outlay taxes,непрямі податки
outlet,торговельна точка; магазин; механізм реалізації; канал реалізації
outperform the market (v.),"одержувати дохід, який перевищує ринкові показники; перевищувати середні показники (за доходами); показує результати вищі за ринкові"
outplacement,"працевлаштування (звільнення працівників, особливо керівників)"
output,обсяг виробництва; реалізована продукція; виробництво; готова продукція
output bonus,премія за виконання завдання за обсягами виробництва
output frontier,граничний можливий рівень виробництва
output growth,зростання виробництва
output plan,виробничий план
outputs,надавана документація; результати роботи (консультанта)
outright forward deal,проста форвардна угода
outright liability,безумовна відповідальність; пряма відповідальність; безпосередня відповідальність
outright merger,пряме злиття
outright ownership,пряме право власності
outright transaction,проста форвардна угода (без купівлі або продажу на роздрібному ринку)
outside investor,стороній інвестор
outsider,стороння особа
outsourced item,придбаний виріб; придбана продукція
outsourcing,закупівля із зовнішніх джерел; позаштатні працівники; зовнішні закупівлі; закупівлі збоку; здавання у підряд; доручення певних функцій підряднику; виконання завдання або частини діяльності підрядником (а не штатними працівниками підприємства)
outstanding,непогашений; нерозміщений; нереалізований; невикористаний
outstanding account (O/A),неоплачений рахунок; неурегульований рахунок
outstanding amount,залишок заборгованості; непогашена сума (боргу); непогашений борг; несплачена сума; невибрана сума; неосвоєна сума
outstanding bond issue,нерозміщені боргові зобов'язання; нереалізовані облігації
outstanding capital subscriptions,загальна сума передплатного капіталу
outstanding claim,неурегульована претензія; неурегульовані збитки (страх.)
outstanding commitments,«виділено» (рубрика у бухгалтерській звітності); виділені кошти; невиконані зобов'язання; активи і невиконані зобов'язання банку
outstanding contract,ще не виконаний договір; невиконаний договір; невиконаний контракт: незавершений контракт
outstanding contributions,"несплачені внески; внески, які підлягають внесенню"
outstanding credit,МИ ч -невикористаний кредит; непогашений кредит; неосвоєний кредит; невикористаний залишок кредиту
outstanding debt,існуючий борг; залишок заборгованості; непогашений борг; неурегульована заборгованість; неосвоєний кредит; невикористаний залишок кредиту
outstanding disbursements,«використано» (рубрика у бухгалтерській звітності); освоєні кошти; освоєно коштів
outstanding expenses,несплачені рахунки; неврегульовані рахунки
outstanding interest,невиплачені відсотки (проценти); неодержані відсотки (проценти); проценти для сплати; відсотки (проценти) для одержання
outstanding item,неурегульована позиція
outstanding loan,непогащена позика; невикористаний кредит; неосвоєний кредит; невибрана сума кредиту; невикористаний залишок кредиту
outstanding position,непогашена позиція; неврегульована позиція; незакрита позиція
outstanding stock,випущені акції на руках утримувачів; циркулюючі акції
outstandings,невикористані кошти; непогашені позиції; непогашений борг; сума непогашеного кредиту; неосвоєні кошти
outward bill of lading,коносамент з експортних перевезень
outward investment,відплив капіталу; відплив іноземних інвестицій; інвестування за кордоном; зарубіжні інвестиції; експорт капіталу; капіталовкладення за кордоном
outward trade,експортна торгівля; експорт
outward transit,виїзний транзит
over-the-counter bulletin board (OTCBB),сервер позабіржової торгівлі цінними паперами
over-the-counter market (OTC market),"позабіржовий ринок; ринок цінних паперів, які продаються по телефону або через комп'ютерну мережу"
over-the-counter option (OTC option),позабіржовий опціон
over-the-counter trading (OTC trading),позабіржова торгівля; позабіржові операції; позабіржові угоди
over the period,рівномірно протягом всього періоду
over the period to maturity,на період всього терміну зобов'язання
overall balance,підсумковий баланс
overall cost,повна вартість
overall minimum tax exposure for all parties,загальне мінімальне оподаткування усіх сторін
overarching strategy,генеральна стратегія; комплексна стратегія; загальна стратегія
overassessment,надмірне оподаткування
overbooked issue,частково задоволені замовлення на випуск (облігацій); неповне задоволення заявок на випуск (облігацій)
overcapacity,надлишкові виробничі потужності; надлишок виробничих потужностей
overcapitalisation,надлишок капіталу; надмірна капіталізація
overcharging,завищення сум у рахунках-фактурах; обрахування
overcollaterisation,надлишкове забезпечення
overdraft,дебетове сальдо; овердрафт; технічний кредит
OVCraralt HMM,узгоджена сума допустимого овердрафта (збичайно не перевищує місячного доходу клієнта)
overdraw (v.),"зняти з рахунку суму, що перевищує залишок на рахунку (виникає овердрафт)"
overdue amount,сума простроченої заборгованості; сума простроченого платежу
overdue bill,прострочений вексель; неоплачений вексель
overdue debt,прострочена заборгованість; прострочений борг
overextension,"заборгованість, що перевищує платоспроможність позичальника; заборгованість, що перевищує можливості позичальника з її обслуговування і погашення"
overhang,надлишкова маса (валюти); надлишкові запаси; надлишкові резерви; понаднормативні резерви; понаднормативна заборгованість
overhaul,капітальний ремонт
overhead absorption rate (OAR),нормативна ставка накладних витрат
overhead costs,накладні витрати
overheads,накладні витрати
overinvoicing,завищення сум у рахунках-фактурах
overland transport,сухопутні перевезення; наземний транспорт
overlapping debt,дублюючий борг; паралельна заборгованість
overlying mortgage,наступна іпотека; друга або третя заставна; наступна заставна
overnight deposit,короткостроковий депозит
overnight funds,одноденні кошти
overnight money,"добова позичка; добовий кредит; міжбанківський кредит, який підлягає оголошенню на наступний день"
overnight rate,ставка за одноденними депозитами
overpay,переплата
overpayment,переплата
overreporting,завищення показників у звітності; дуті цифри; роздування (витрат і т.ін.); «Липові» показники; приписки
overrun financing,фінансування перевитрат стосовно кошторису
Overseas Development Administration (ODA),Управління з розвитку заморських територій (Англія|
Overseas Economic Cooperation Fund (OECF),Фонд зовнішньоекономічного співробітництва |Японія|
Overseas Private Investment Corporation (OPIC),Корпорація зарубіжних приватних інвестицій (ОПІК)
overseas transport,морські перевезення
overshooting in FX market,невиправдане коливання валютного курсу
overshooting in FX market,невиправдані коливання Цін; «переборшування» цін
oversight,нагляд (банківський)
overstate (v.),завищувати; приписувати (у звітності)
overstatement of assets,завищення вартості активів (у звітності)
overstating,завишена оцінка; приписки; «липові» показники; завищені показники у звітності; дуті цифри
overstocking,затоварювання
overstocks,залежалі товари; неходові товари; неліквіди; затоварювання
oversubscribed issue,збільшений випуск (облігацій); випуск додаткових облігацій для задоволення попиту
oversupply,надлишкова пропозиція; надлишок пропозиції; затоварювання; перевищення пропозиції над попитом
overtax (v.),завищувати суму оподаткування; надмірно оподатковувати
overtime,понаднормові; плата за понаднормову роботу; понаднормова робота; додатковий час
overvaluation,"завищена оцінка (майна, активів у звітності)"
owing,"належить; сума, що залишилася несплаченою; сума, Яка підлягає сплаті"
own-account construction,будівництво господарським методом; будівництво силами власної будівельної організації; будівництво власними силами
own account (on ~),за власний рахунок
own account transport,власний транспорт (підприємства); відомчий транспорт
own funds,власні кошти
own shares,акції у власності компанії; викуплені (адміністрацією компанії) у акціонерів акції
owned (be ~) (v.),бути об'єктом власності
owner bond,облігація на пред'явника; неіменна облігація; боргове зобов'язання на пред'явника
owner of record,номінальний власник; формальний власник; офіційний власник; номінальний власник; зареєстрований власник
ownerless property,безгосподарське майно
owner’s equity,власний капітал; власні кошти
ownership,право власності
ownership in common,спільна власність; спільне майно
ownership interest,власницький інтерес
ownership transfer,передача прав власності
pac-man defence,придбання об'єктом поглинення акцій компанії-поглинача (для запобігання поглиненню)
pace of commitments,динаміка обсягу зобов'язань
pace of economic development,динаміка економічного розвитку
package approach,пакетний підхід; комплексне рішення; Комплексний підхід
package deal,комплексна операція; комплексна угода
package loan,комплексний кредит
package of services,комплекс послуг; пакет послуг
package procurement,комплексні закупівлі; закупівля у комплекті
package transaction,комплексна угода; пакетна угода
packing letter of credit,акредитив для оплати невідвантажених товарів
paid cash (PC),сплачено готівкою; за готівку; готівка
paid-in capital,оплачувана частина акціонерного капіталу; оплачена частка акціонерного капіталу; оплачений пай; оплачуваний пай
paid-in capital instalment,внесок у рахунок оплачуваного капіталу
paid-in capital receivable,заборгованість із внесенням оплачуваного капіталу; оплачуваний капітал до одержання
paid-in share,оплачена акція; оплачувана акція
"paid-in subscribed capital called, but not yet due","який підлягає оплаті, але ще не належний передплатний капітал (графа у звітності)"
"paid-in subscribed capital due, but not yet received","належний, але не одержаний оплачуваний передплатний капітал (графа у звітності)"
paid leave,оплачувана відпустка
paid-up capital,оплачувана частка акціонерного капіталу; оплачений пай; оплачуваний пай; оплачувана частка акціонерного капіталу
paired accounts,парні рахунки
paired deals,парні угоди
paired line,спарена лінія (телефонна)
paired shares,здвоєні акції
paired transactions,парні угоди; парні операції
paired values,парна вартість
paper,короткострокове боргове зобов'язання; документ; доповідь; текст виступу
paper-based signature,"підпис на папері (на відміну від підпису, введеного у комп'ютер)"
paper corporation,"підставна корпорація; фіктивна корпорація; компанія -- «поштова скринька»; «поштова скринька»; пуста компанія (яка не має активів); «пустушка»; дута компанія; компаніяодноденка; номінальна корпорація (компанія, створена для зручності розрахунків)"
paper currency,гасла
paper exchanges,гасла
paper gain,нематеріалізований прибуток; оцінний прибуток; нереалізований дохід; номінальний прибуток
paper issue,документарний випуск; паперовий випуск
paper loss,"нематеріалізовані втрати; номінальні збитки; нематеріалізовані збитки; номінальні втрати; втрати на папері; збитки на папері; збитки, які визначаються тільки при продажу цінних паперів"
paper profit,"нематеріалізовані прибутки; прибутки на папері; номінальні прибутки; прибутки, які визначаються тільки при продажу цінних паперів; різниця між поточною ціною цінного паперу і ціною його купівлі"
paperless payment,безготівкий платіж; безготівковий розрахунок
paperless security,безбланковий цінний папір; бездокументарний цінний папір; цінний папір в електронній формі
paperwork,оброблення документації; документи; документообіг; офіційне оформлення (домовленості)
par,номінальна вартість цінного паперу; номінал; валютний паритет
par bond,"облігація, ринкова вартість якої є близькою до її номіналу"
par value,номінальна вартість цінного паперу; номінал; валютний паритет
parallel financing,паралельне фінансування (варіант спільного фінансування)
parallel loan,"кредит, наданий в одній валюті, а погашуваний в іншій"
parameter reporting,"інформування (керівництва, наглядових органів) про незвичні угоди (з метою боротьби з відмиванням грошей); звітність за формальними показниками"
parent company,"основне господарське товариство; головна компанія, материнська компанія"
parent organisation,головна організація
parental borrowing,запозичання через посередництво материнської компанії
parental guarantee,гарантія материнської компанії
parental surety,поручництво материнської компанії
pari passu,на паритетних засадах; на рівній основі; принцип рівних умов
parking (stock ~),реєстрація акцій на підставну особу; реєстрація акцій на чуже ім'я
part owner,співвласник
part payment,неповний платіж; неповна оплата; часткова оплата; частковий платіж
part time (P/T),на неповний робочий день; нештатний (про працівника); неповний робочий тиждень; неповний робочий день
part time job,побічне заняття; робота за сумісництвом; робота на неповний робочий день
partial acceptance,неповний акцепт
partial average,часткова аварія (страх.)
partial convertibility,часткова конвертованість; часткова оборотність
partial environmental analysis,частковий аналіз впливу на довкілля; частковий екологічний аналіз
partial payment,неповний платіж; неповна оплата; часткова оплата; частковий платіж
partial tender,часткові торги; частковий конкурс
participant loan,кредит учасника
participatin bank (PB) .,банк-учасник (БУ)
participating bond,"облігація з правом участі у прибутках (компанії-позичальника); облігація, яка надає право на участь у прибутках"
participating interest,"частка участі (понад 2095, але не більше 5096)"
participating policy,"поліс страхування, який дає право на участь у прибутках страхової компанії"
participating preferred stock,привілейовані акції з часткою участі; привілейовані акції з правом на додаткові дивіденди
participation,частка (у кредиті); синдикація; синдикування
participation agreement,угода про участь в спільному фінансуванні; консорціальна угода
participation certificate,"сертифікат на право власності (цінний папір, який дає право власності на підприємство, але без права голосу на зборах акціонерів)"
participation fee,комісія за синдикацію; Комісія за участь (плата за участь у наданні кредиту); комісія за організацію консорціуму
participation loan,консорціальний кредит; синдикований кредит
participations,участь у кредитуванні; синдикація; синдикування
particular average (P.A.; P/A),часткова аварія (страх.)
particular average loss,збитки за частковою аварією (страх.)
particular circumstances,конкретні обставини; особливі обставини; специфічні умови
particular cost,вартість певної операції
particular covenant,особливе зобов'язання
particular custom,місцевий звичай
particular discount rate,окрема облікова ставка
particulars of an account,реквізити рахунку
particulars of an item,дані за певною позицією
partly knocked down,у частково розібраному вигляді (постачання обладнання)
partner,компаньйон; партнер; товариш (у товаристві)
partnership,"просте товариство; повне товариство; партнерство (як правило, без утворення юридичної особи)"
partnership agreement,договір повного товариства; партнерський договір; договір простого товариства; угода про утворення товариства
partnership and cooperation agreement (PCA),угода про партнерство і співробітництво (між ЄС і країнами колишнього СРСР; евентуального членства в ЄС не передбачає)
partnership limited by shares,товариство з обмеженою відповідальністю
party line,спарена лінія (телефонна)
party responsible,"винна сторона; сторона, що несе відповідальність"
party to an agreement,сторона угоди; учасник угоди
pass a dividend (v.),не виплачувати дивіденди; не оголошувати дивіденди
pass an entry to the credit of an account (v.),зараховувати у кредит рахунку; кредитувати рахунок
pass loan,"надійний кредит; задовільний кредит; продуктивний кредит; погашуваний кредит; кредит, погашення якого не викликає занепокоОєння"
pass-through formula,метод перенесення витрат на клієнтів; положення про оплату клієнтами витрат (інвестиційного банку) за проектом
pass-through security,цінний папір про передавання коштів від боржників кредиторам або інвесторам
passbook,ощадна книжка (в ощадному чи поштовому банку або товаристві взаємного кредитування)
passbook account,ощадний рахунок (в ощадному чи поштовому банку або товаристві взаємного кредиту) рахунок в ощадному або поштовому банку
passenger service,пасажирське сполучення (на транспорті); пасажирський поїзд
passenger traffic,пасажирські перевезення
passive banking operation,пасивна банківська операція
passive bond,безвідсоткова облігація
passive debt,безвідсотковий борг
passive investor,"пасивний компаньйон; пасивний партнер; пасивний інвестор; інвестор, який не бере участі в керуванні компанією"
past contamination,"зараження в минулому (екол.); забруднення (довкілля), яке трапилося у минулому"
past due accounts,прострочена заборгованість
past due interest,заборгованість за відсотками; прострочені відсотки
past performance on contracts,послужний список дотримання договірних зобов'язань; результати виконання контрактів у минулому
past service cost,вартість колишніх послуг
patentability,патентоспром ожність
path breaker,новатор; зачинатель; піонер
pathfinder prospectus,попередній проспект випуску акцій (без зазначення передбачуваної ціни)
patient capital,"«терплячий» капітал (пенсійних і т.ін. фондів); понаддовгострокові інвестиції (на 30, 50 ї більше років)"
patrimonial bond,приватизаційний чек; ваучер (розм.)
pattern of current account positions,стан поточних статей платіжних балансів; співвідношення платіжних балансів у частині поточних операцій
pattern of economic development,динаміка економічного розвитку
pawn,заклад; застава (з передачею володіння заставоутримувачу)
pawn (v.),закладати; віддавати під заставу; обтяжувати заставою
pawnee,заставоутримувач
pawner,заставник
pay-as-you-earn system (PAYE),сплата податків при нарахуванні заробітної плати; збір прибуткового податку шляхом його стягнення із заробітної плати
pay-as-you-go pension plan (PAYG pension plan),"пенсійний фонд, який виплачує пенсії з внесків, що вносяться його працюючими членами (ті, хто працюють, фінансують пенсії пенсіонерів)"
pay book,розрахункова книжка
pay-in envelope,конверт для внесення платежів через банкомат
pay-in facility,"банкомат, обладнаний пристроєм для приймання платежів"
pay-in slip,прибутковий ордер
pay insurance indemnity (v.),виплачувати страхове відшкодування
pay on account (v.),платити в рахунок належної суми
pay scale,шкала заробітної плати
pay slip,розрахунок заробітної плати (видається на руки працівникові)
pay-to-bearer bond,облігація на пред'явника
Payable,до сплати; до платежу; підлягає сплаті; який належить
payable forthwith upon demand,"такий, що підлягає сплаті негайно на вимогу"
payable in advance,який підлягає сплаті на початку відповідного періоду; який підлягає оплаті авансом; на умовах передоплати; 3 передоплатою; «підлягає оплаті наперед»
payable in arrears,який підлягає оплаті наприкінці відповідного періоду; який підлягає оплаті на кінець відповідного періоду; який підлягає оплаті після одержання товарів або послуг; «підлягає оплаті»
payable upfront,який підлягає оплаті авансом; на умовах передоплати
payables,"кредиторська заборгованість, рахунки до оплати; борги; грошові зобов'язання; боргові 30бов'язання; поточна заборгованість (постачальникам, кредиторам)"
payback,окупність капіталовкладень; окупність затрат; повернення капіталу; повернення коштів; поворотність; погашення боргу
payback period (PBP),строк окупності капіталовкладень; строк повернення капіталовкладень; період окупності інвестицій
paydown,"завдаток; перший внесок (при придбанні на виплат); сума, на яку знижується борг при заміні боргового зобов'язання"
payee,одержувач платежу; ремітент; бенефіціар (страх.); вигодонабувач (страх.); векселеутримувач; реципієнт
payer,платник
paying agent,платіжний агент
paying bank,банк-платник
paying-in slip,прибутковий ордер; прибутковий касовий ордер
paying-in slot,вікно для внесення платежів у банкомат
payment arrears,заборгованість з оплати; прострочені платежі; прострочена заборгованість
payment by instalments,неповна оплата; часткова оплата
payment date,дата платежу; строк платежу; дата здійснення оплати; дата оплати (відсотків або основної суми боргу)
payment demand order,платіжна вимога
payment details,призначення платежу; реквізити платежу
payment in advance,передоплата; оплата наперед; попередня оплата; достроковий платіж
payment in arrears,оплата наприкінці періоду; оплата після поставки; остаточний платіж
payment in cash,платіж готівкою; платіж «живими» грошима; оплата у грошовій формі (на відміну від бартеру); оплата готівкою
payment in kind,платіж натурою; оплата натурою; натуральна оплата
payment instrument,платіжний засіб
payment note,відкупна записка
payment obligation,платіжне зобов'язання
payment of claims,оплата претензій; оплата вимог
payment of compensation,виплата страхового відшкодування
payment of paid-in capital,платіж у рахунок оплачуваного капіталу
payment of principal,виплата основного боргу
payment of subscriptions,"оплата акцій, на які здійснено передплату"
payment order,платіжне доручення
payment reference,реквізити платежу
payment request,платіжна вимога
payment risk,ризик недоодержання платежу
payment schedule,графік виплат; графік платежів; графік погашення; строки погашення; строки платежів у рахунок погашення
payment slip,витратний касовий ордер; витратний ордер; квитанція про оплату; платіжна квитанція
payment terms and procedures,умови і порядок здійснення платежів; умови ії метод оплати
payment upfront,оплата наперед; авансовий платіж; передоплата
payments agreement,платіжна угода
payments centre,розрахунковий центр
payments system,система розрахунків
payoff,результат; віддача; винагорода; відступний; відстібання; відступні (різновид хабаря);відступне (зрідка); відмазування (розм.)
payoff statement,підтвердження погашення кредиту
payout policy,принципи виплати дивідендів
payroll and benefits officer,"бухгалтер, який займається розраховуванням заробітної плати; розраховувач"
payroll bill,фонд заробітної плати; витрати на заробітну плату
payroll liabilities,кредиторська заборгованість із заробітної плати
payroll register,розрахунково-платіжна відомість
payroll tax,податок на фонд заробітної плати
PC banking,здійснення банківських операцій дистанційно за допомогою комп'ютера або телефонної клавіатури
peak-load pricing,ціноутворення з урахуванням навантаження (ек.); встановлення диференційованих цін залежно від попиту; диференційні тарифи; підвищення цін на послуги (транспортні і т. ін.) у періоди найвищого попиту
peak-period tariff,диференційований тариф (підвищений період пікового навантаження); підвищена ціна у періоди найвищого попиту (на транспортні та інші послуги)
pecuniary advantage,грошова вигода; грошовий виграш; грошовий прибуток
pecuniary benefit,грошова вигода
pecuniary damages,грошова компенсація
pecuniary profit,грошовий прибуток
peg (v.),"штучно підтримувати (ціну, курс; часто за рахунок інтервенцій на ринку); прив'язувати (валюту до іншої валюти)"
pegging of interest rates,фіксація відсоткових ставок
pegging tariffs to hard currency,встановлення тарифів у ВКВ; фіксація тарифів у ВКВ; прив'язування тарифів до ВКВ
penalty,недотримка; пеня; штраф
penalty clause,штрафне застереження
penalty for delay,штрафна санкція з прострочення; штраф за недотримання строків
penalty interest,пеня
penalty rate,штрафний відсоток
pending disbursements,невикористані кошти; неосвоєні кошти
pending document,документ «на контролі»
pension benefits,"пільги, пов'язані з виходом на пенсію; пенсійне забезпечення"
pension fund,пенсійний фонд
pension plan,пенсійний фонд; програма пенсійного забезпечення; пенсійний план
pension scheme,пенсійний фонд; програма пенсійного забезпечення; пенсійний план
pent-up consumer demand,незадоволений споживчий попит
pent-up demand,відкладений попит; незадоволений попит; придушений попит
